Smoky Black   Hex=#100c08,10,4,4
Color,R,G,B
Lapis Lazuli   Hex=#26619c,36,125,150
Color,R,G,B
Teal Blue   Hex=#367588,32,119,145
Color,R,G,B
Blue Sapphire   Hex=#126180,29,109,131
Color,R,G,B
Blue Sapphire   Hex=#126180,22,99,122
Color,R,G,B
Blue Sapphire   Hex=#126180,25,101,124
Color,R,G,B
Blue Sapphire   Hex=#126180,26,101,124
Color,R,G,B
Blue Sapphire   Hex=#126180,26,101,124
Color,R,G,B
Blue Sapphire   Hex=#126180,22,109,133
Color,R,G,B
Celadon Green   Hex=#2f847c,44,136,158
Color,R,G,B
Blue Sapphire   Hex=#126180,16,87,107
Color,R,G,B
Rose Ebony   Hex=#674846,107,71,61
Color,R,G,B
Msu Green   Hex=#18453b,31,60,66
Color,R,G,B
Dark Slate Gray   Hex=#2f4f4f,33,73,83
Color,R,G,B
Slate Gray   Hex=#708090,104,129,148
Color,R,G,B
Payne'S Grey   Hex=#536878,77,97,118
Color,R,G,B
Stormcloud   Hex=#4f666a,75,89,107
Color,R,G,B
Davy'S Grey   Hex=#555,88,81,94
Color,R,G,B
Davy'S Grey   Hex=#555,90,82,99
Color,R,G,B
Wenge   Hex=#645452,102,86,102
Color,R,G,B
Raspberry Glace   Hex=#915f6d,132,93,107
Color,R,G,B
Raspberry Glace   Hex=#915f6d,149,88,103
Color,R,G,B
Raspberry Glace   Hex=#915f6d,154,92,106
Color,R,G,B
Eggplant   Hex=#614051,97,67,81
Color,R,G,B
Charcoal   Hex=#36454f,53,67,81
Color,R,G,B
Charcoal   Hex=#36454f,47,62,75
Color,R,G,B
Charcoal   Hex=#36454f,48,63,76
Color,R,G,B
Eggplant   Hex=#614051,97,73,95
Color,R,G,B
Mountbatten Pink   Hex=#997a8d,171,124,143
Color,R,G,B
Puce   Hex=#c89,210,146,161
Color,R,G,B
Turkish Rose   Hex=#b57281,176,110,126
Color,R,G,B
English Lavender   Hex=#b48395,163,131,145
Color,R,G,B
Dim Gray   Hex=#696969,97,95,109
Color,R,G,B
Cadet   Hex=#536872,85,99,116
Color,R,G,B
Cadet   Hex=#536872,85,97,114
Color,R,G,B
Stormcloud   Hex=#4f666a,85,93,108
Color,R,G,B
Stormcloud   Hex=#4f666a,85,93,108
Color,R,G,B
Payne'S Grey   Hex=#536878,80,101,119
Color,R,G,B
Stormcloud   Hex=#4f666a,76,95,111
Color,R,G,B
Stormcloud   Hex=#4f666a,83,92,106
Color,R,G,B
Stormcloud   Hex=#4f666a,88,91,103
Color,R,G,B
